FIPS,Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
22059,GovAid,1127000,1228000,1240000,1301000,1349000,1562000,1498000,1457000,1423000,1508000,1694000,1629000,1723000,1729000
22061,GovAid,3145000,3477000,3501000,3733000,3951000,4648000,4466000,4372000,4283000,4623000,5203000,5018000,5341000,5467000
22063,GovAid,7771000,8809000,9126000,9900000,10676000,12801000,12827000,12861000,12975000,13972000,15807000,15350000,16542000,16879000
22065,GovAid,1033000,1115000,1086000,1120000,1147000,1317000,1231000,1180000,1138000,1170000,1302000,1235000,1344000,1294000
22067,GovAid,2533000,2753000,2730000,2865000,2946000,3371000,3158000,3003000,2907000,3058000,3359000,3179000,3369000,3393000
22069,GovAid,3077000,3355000,3359000,3530000,3695000,4314000,4152000,4032000,3923000,4164000,4628000,4425000,4703000,4704000
22071,GovAid,39486000,43532000,43737000,46200000,48140000,56129000,24459000,27875000,30540000,35163000,41483000,41341000,45152000,46409000
22073,GovAid,12009000,13175000,13279000,14057000,14665000,17071000,16320000,15834000,15454000,16484000,18400000,17740000,18953000,19510000
22075,GovAid,2200000,2448000,2495000,2699000,2934000,3442000,2454000,2428000,2361000,2505000,2833000,2775000,2983000,2982000
22077,GovAid,1893000,2065000,2057000,2158000,2241000,2583000,2522000,2461000,2408000,2537000,2814000,2700000,2856000,2814000
22079,GovAid,10206000,11211000,11239000,11866000,12395000,14508000,14018000,13635000,13321000,14135000,15776000,15177000,16149000,16361000
22081,GovAid,786000,855000,855000,901000,933000,1073000,1015000,983000,952000,999000,1108000,1061000,1128000,1097000
22083,GovAid,1669000,1830000,1824000,1900000,1966000,2290000,2187000,2126000,2076000,2191000,2444000,2363000,2518000,2540000
22085,GovAid,1946000,2130000,2131000,2255000,2346000,2749000,2629000,2567000,2501000,2655000,2950000,2854000,3024000,2978000
22087,GovAid,5613000,6243000,6340000,6736000,7098000,8362000,1799000,2517000,3010000,3636000,4528000,4667000,5216000,5367000
22089,GovAid,4025000,4456000,4519000,4776000,5021000,5933000,5807000,5671000,5488000,5825000,6473000,6164000,6564000,6624000
22091,GovAid,884000,968000,975000,1021000,1061000,1231000,1228000,1190000,1161000,1233000,1373000,1289000,1375000,1394000
22093,GovAid,1767000,1951000,1960000,2053000,2131000,2502000,2430000,2381000,2310000,2459000,2709000,2568000,2714000,2709000
22095,GovAid,3612000,4001000,4032000,4285000,4502000,5299000,5237000,5092000,4894000,5124000,5595000,5306000,5603000,5497000
22097,GovAid,7256000,7885000,7830000,8174000,8442000,9774000,9378000,9064000,8794000,9236000,10213000,9798000,10428000,10547000
22099,GovAid,4034000,4470000,4499000,4759000,4974000,5810000,5623000,5502000,5406000,5731000,6391000,6198000,6578000,6618000
22101,GovAid,4451000,4859000,4867000,5133000,5335000,6179000,5967000,5787000,5653000,5999000,6656000,6340000,6670000,6769000
22103,GovAid,16018000,17947000,18443000,19899000,21268000,25485000,24774000,24408000,24063000,25682000,28914000,28030000,30116000,30787000
22105,GovAid,8224000,9130000,9219000,9821000,10366000,12238000,12357000,12282000,12141000,12997000,14608000,14162000,15192000,15447000
22107,GovAid,513000,556000,547000,561000,572000,661000,630000,592000,562000,590000,647000,604000,631000,625000
22109,GovAid,8722000,9632000,9680000,10236000,10689000,12571000,12132000,11853000,11613000,12312000,13640000,13105000,13958000,14187000
22111,GovAid,1883000,2073000,2061000,2181000,2260000,2644000,2518000,2428000,2353000,2479000,2772000,2651000,2792000,2767000
22113,GovAid,4501000,4960000,5005000,5280000,5524000,6521000,6233000,6104000,6001000,6383000,7137000,6865000,7361000,7418000
22115,GovAid,4169000,4603000,4555000,4702000,4903000,5735000,5351000,5132000,4856000,5426000,6256000,5951000,6568000,6493000
