FIPS,year,co_year,County_name,storm,hit_year,treatment,NONPROFITS,CONT,EXPS,GRPROF,INVINC,OTHINC,TOTREV,TOTASS,LAND_AREA,pop,density,concentration,wealth,distribution,output,use,dependence,post,tpost,fixedcont
48365,2011,48365-2011,Panola County,IKE,2008,1,41,2451067,8533700,61865,658539,1953218,9499285,31829237,801.748,24007,0.0017078352147290373,0.24416418798334324,776322.8536585366,42.77593765221627,355.46715541300455,59782.12195121951,25.802647251872113,1,3,1478713
48365,2012,48365-2012,Panola County,IKE,2008,1,39,2308462,8177063,91770,966283,2241193,9551124,33315985,801.748,24001,0.0016249322944877297,0.2560386473429952,854256.0256410256,10.45988903883641,340.6967626348902,59191.333333333336,24.16953229797875,1,4,1478713
48365,2013,48365-2013,Panola County,IKE,2008,1,40,2190815,8122100,88215,1037333,2304228,9268158,34305223,801.748,23790,0.0016813787305590584,0.22586956521739132,857630.575,11.321480821258,341.4081546868432,54770.375,23.638084288161682,1,5,1478713
48367,2000,48367-2000,Parker County,IKE,2008,0,85,6565038,13663313,398033,886960,459349,17011823,29909003,903.477,89241,9.524770004818413e-4,0.26089290235462914,351870.62352941174,20.593098101860555,153.10578097511234,77235.74117647059,38.59103166074559,0,0,45366634
48367,2001,48367-2001,Parker County,IKE,2008,0,85,8476710,14367622,261970,1117250,281855,17792435,32144413,903.477,91647,9.274717121127806e-4,0.23689762849185583,378169.56470588234,12.232221323410451,156.7713291215206,99726,47.642214233183935,0,0,45366634
48367,2002,48367-2002,Parker County,IKE,2008,0,92,8207508,16281691,262319,962473,240685,17314930,38410702,903.477,93961,9.791296388927321e-4,0.25121782754107896,417507.6304347826,15.14405681367004,173.28137205862006,89212.04347826086,47.4013351483373,0,0,45366634
48367,2003,48367-2003,Parker County,IKE,2008,0,99,8807016,17624894,250036,1046011,521436,19809771,41070336,903.477,96742,0.0010233404312501291,0.209180074792723,414851.8787878788,15.038375444292672,182.184511380786,88959.75757575757,44.4579394683563,0,0,45366634
48367,2004,48367-2004,Parker County,IKE,2008,0,108,10541889,19347870,251414,947030,1921759,24318234,56483779,903.477,98903,0.0010919790097368128,0.2046419235447887,522997.9537037037,17.415219791650006,195.62470299182027,97610.08333333333,43.34973090562415,0,0,45366634
48367,2005,48367-2005,Parker County,IKE,2008,0,113,12862114,21935370,312926,1438248,612852,26982462,63809105,903.477,101320,0.001115278326095539,0.2096231945671996,564682.3451327434,30.457164254954936,216.495953414923,113824.01769911505,47.66842254794985,0,0,45366634
48367,2006,48367-2006,Parker County,IKE,2008,0,119,35418939,46475092,373863,1381475,542615,51501858,76269772,903.477,104690,0.0011366892730919858,0.20261086178893464,640922.4537815126,13.763540614188177,443.9305759862451,297638.14285714284,68.7721576957476,0,0,45366634
48367,2007,48367-2007,Parker County,IKE,2008,0,125,45366634,47008947,307549,11440109,592283,62403781,90300682,903.477,108639,0.0011505996925597621,0.22200669090909092,722405.456,15.89120728617407,432.70783972606523,362933.072,72.69853408401647,0,0,45366634
48367,2009,48367-2009,Parker County,IKE,2008,0,143,50012351,64808346,424821,1478504,1895345,65982270,100486571,903.477,114919,0.0012443547194110635,0.2052165721654128,702703.2937062937,24.27653866489123,563.9480503659099,349736.72027972026,75.79665113067495,1,1,45366634
48367,2010,48367-2010,Parker County,IKE,2008,0,138,71599791,85634345,297540,1648425,1596600,88994608,109042895,903.477,117316,0.0011763101367247434,0.20871229684583464,790165.9057971014,24.256142319470747,729.9460005455352,518839.0652173913,80.45407762232067,1,2,45366634
48367,2011,48367-2011,Parker County,IKE,2008,0,150,33703612,49743499,243199,1743298,2703810,52645243,112735655,903.477,118320,0.0012677484787018255,0.21306516007532955,751571.0333333333,28.462392096588665,420.41496788370523,224690.74666666667,64.02024205681793,1,3,45366634
48367,2012,48367-2012,Parker County,IKE,2008,0,155,33968093,48785174,183382,2294827,2248276,55103496,132406480,903.477,119482,0.0012972665338712107,0.2086208014192866,854235.3548387097,29.244456552857844,408.30563599538004,219148.9870967742,61.64417045335926,1,4,45366634
48367,2013,48367-2013,Parker County,IKE,2008,0,155,30940454,45422967,359080,3698241,897443,50536712,112993100,903.477,119785,0.0012939850565596694,0.19351072791239285,728987.7419354839,27.955757319278273,379.2041324038903,199615.8322580645,61.22371791817402,1,5,45366634
48369,2000,48369-2000,Parmer County,IKE,2008,0,8,36867,3271191,15400,29637,24480,3428363,2543458,880.779,9981,8.015228934976455e-4,0.40625,317932.25,19.622506953193717,327.7418094379321,4608.375,1.0753528724933736,0,0,925568
48369,2001,48369-2001,Parmer County,IKE,2008,0,9,212088,3363110,20358,44112,36481,3702492,3112923,880.779,9739,9.241195194578498e-4,0.30864197530864196,345880.3333333333,11.250236984976588,345.32395523154327,23565.333333333332,5.728250054287761,0,0,925568
48369,2002,48369-2002,Parmer County,IKE,2008,0,10,247546,4135474,15438,15222,41819,4360582,3889138,880.779,9825,0.0010178117048346056,0.27,388913.8,19.23932802711819,420.91338422391857,24754.6,5.676902762062495,0,0,925568
48369,2003,48369-2003,Parmer County,IKE,2008,0,10,612634,4345062,80561,21730,45265,4331098,3916319,880.779,9842,0.001016053647632595,0.30000000000000004,391631.9,20.74965306122449,441.48160942897783,61263.4,14.14500433839179,0,0,925568
48369,2004,48369-2004,Parmer County,IKE,2008,0,10,677416,4555019,44307,19608,55274,4646779,3668175,880.779,9759,0.0010246951531919255,0.30000000000000004,366817.5,21.416132576451204,466.7505891997131,67741.6,14.578184157240962,0,0,925568
48369,2005,48369-2005,Parmer County,IKE,2008,0,9,795233,4871290,16096,29621,69796,5290047,4100028,880.779,9584,9.390651085141904e-4,0.25925925925925924,455558.6666666667,17.015164692673828,508.27316360601003,88359.22222222222,15.032626364189202,0,0,925568
48369,2006,48369-2006,Parmer County,IKE,2008,0,8,818855,4932461,0,51925,102105,5548831,4631685,880.779,9431,8.482663556356696e-4,0.21875,578960.625,7.463294872625915,523.0050895981338,102356.875,14.75725247353902,0,0,925568
48369,2007,48369-2007,Parmer County,IKE,2008,0,9,925568,5236410,25599,71291,56261,6087811,5568478,880.779,9403,9.571413378708923e-4,0.20987654320987653,618719.7777777778,8.002213761985336,556.8871636711688,102840.88888888889,15.203625736738541,0,0,925568
48369,2009,48369-2009,Parmer County,IKE,2008,0,8,1407982,6096999,4736,95763,61690,6865672,6142846,880.779,9290,8.61141011840689e-4,0.28125,767855.75,5.284357273035682,656.2969860064586,175997.75,20.507562843083676,1,1,925568
48369,2010,48369-2010,Parmer County,IKE,2008,0,7,1775234,8195456,3253,47897,68585,8888814,6911007,880.779,10265,6.819288845591817e-4,0.3061224489795918,987286.7142857143,7.374410933081997,798.3883097905505,253604.85714285713,19.971550760315154,1,2,925568
48369,2011,48369-2011,Parmer County,IKE,2008,0,7,2032569,9261307,4204,47404,68877,10547532,7793827,880.779,10276,6.811989100817438e-4,0.3061224489795918,1113403.857142857,25.07385184002189,901.2560334760607,290367,19.270564905610147,1,3,925568
48369,2012,48369-2012,Parmer County,IKE,2008,0,6,1990114,9600317,0,33422,75049,11309501,10338232,880.779,10184,5.89159465828751e-4,0.3888888888888889,1723038.6666666667,8.960813022134182,942.6862725844462,331685.6666666667,17.59683296371785,1,4,925568
48369,2013,48369-2013,Parmer County,IKE,2008,0,5,472182,9688021,0,19117,73735,10577621,11173102,880.779,9986,5.007009813739235e-4,0.3600000000000001,2234620.4,19.29093405803598,970.1603244542359,94436.4,4.463971624621453,1,5,925568
48371,2000,48371-2000,Pecos County,IKE,2008,0,11,231604,1628328,27723,34752,42775,1655845,1660565,4763.848,16707,6.584066558927396e-4,0.2727272727272727,150960.45454545456,4.1827502150846,97.46381756150117,21054.909090909092,13.987057967382214,0,0,1438805
48371,2001,48371-2001,Pecos County,IKE,2008,0,9,162889,1584658,25637,9712,80077,1591348,1193407,4763.848,16411,5.484126500517945e-4,0.35802469135802467,132600.77777777778,2.8349010637315746,96.56072146730851,18098.777777777777,10.23591320063242,0,0,1438805
48371,2002,48371-2002,Pecos County,IKE,2008,0,11,187110,1721222,33999,52482,101360,1816937,1949060,4763.848,16284,6.755097027757308e-4,0.25619834710743805,177187.27272727274,4.222772761352153,105.70019651191353,17010,10.298100594572073,0,0,1438805
48371,2003,48371-2003,Pecos County,IKE,2008,0,12,207982,2152082,32829,69000,93688,2209351,2025669,4763.848,15932,7.532011046949536e-4,0.20138888888888887,168805.75,3.930244514776385,135.07921164951043,17331.833333333332,9.413714706264418,0,0,1438805
48371,2004,48371-2004,Pecos County,IKE,2008,0,8,83709,2028747,53717,40082,55463,1947514,1758616,4763.848,15846,5.048592704783542e-4,0.1328125,219827,12.601061533974928,128.0289663006437,10463.625,4.298248947119251,0,0,1438805
